Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Categoría,Dominio Limpio
10/11/25,"Menores ventas de energía eléctrica afectaron en 7,9 % los ingresos de Celsia durante el tercer trimestre de 2025",https://news.google.com/rss/articles/CBMi9AFBVV95cUxQeVJlMmdhZXNjd3lqYWhCM3FyTHlWZFI1MHJHRndkWTMyUjR4el9CaGFYUi0wTHVKUGFZdm1hNnYxMktHN1B4ZlFoNzFrbERsQU41WVlMZGVqTXk0MVR5T2dVQ0tEdUQtQ3VGejhUdTdtS09Dd2prTndpakhUSkVMTnNDbW43NTEyOUtRelhyYmo5OWNTdi1BNkVtLU13UUlKb29QaUx3OUJGSjdLWlRFT0ViY1NKYWhvSUE0SWFpeGhvYlA1RGJ4aWtkWHF2aE9UNTdoTTlYT2ZucjdObUdBZlR4V0tGMl9WUDJodzM4Rk1yTjRL0gH6AUFVX3lxTE5NbFRMUi1vSGZMcTBsNDlVNmxUYUxhUjNEempHcnpjVnhmOEFYdjdwSENUaUkyNTRCT0F1dDU4WnctOWRNWXZ5R1dZQ2QxQXRqam9vY2R1RXh2UmwzdnU2bVVETG9LRXFMOEJIU29Hd1dPWFVmNFd2QVdja1Q3emtuaTFNT1pUQ2w3TVVHby1SQ05SQ1M5NlF0ZW5heEg3UjkzZWh2MFJZdElFUHVsUzVVVnd6T25RRzM2Vy1XUFQ1dkFxRmY3am00XzFMRkIyZzN3Z3dwckdFQmJzN25yRTJJSElxa2RuNzdsQWxRbDBRT3BMRVBiUDRsdXc?oc=5,eltiempo.com,Energía eléctrica,"['eléctrica', 'tercer']",Negativa,"dura, afecta",Otros,eltiempo.com
26/09/25,Fuentes de energía eléctrica serán insuficientes frente a la demanda de 2027 y 2028,https://news.google.com/rss/articles/CBMixgFBVV95cUxNR29DZ0xMcVNwaDJqX2VKWG5tZDRUdkhLb2trOUpGR3F5Wkt3aXhuVmJvZVhVODhFazgzVXhjS0VKUnJuYVByWkpRdk1CcGdDQlBzSEpyc252WkZic2Q4NWpPRXp2S0Q2MFFrSVVUT0pGMTBwWW5GWmNrRTFwbXhxVGlYNzlEbGpUREhtbm11dGc5cThsMW1vbTBRRTNKNm5sYzZaSDdPZFRGQmJXSzl6czdlcmw4elRqclJ5ejVzdnRPcGpJR1HSAcYBQVVfeXFMUHdfblp0UGY1Rm5mcUlJMU82VXJXeGlRaEI1NU5mWVZwanhJNS1rWGpvYk4yME5CR3FmMXNFMzZIQTVFbVdSNElCOWFuMVZJaWFuVHY4b2wxU1NibTVDUEpDUHBfNElTc2ZpaGduTmdZM0RBMm9rOXVtc25veUJsczZJYkhPMXNSZnVrM1dsRHl4bUlxWWRTT1J3a2U2TktzbTRmNzlBdVRoWFlvRmZVV0tBQVlVakdBcUNRRUhrZmhTMWJSYVpB?oc=5,larepublica.co,Energía eléctrica,"['eléctrica', 'insuficientes']",Neutral,,Otros,larepublica.co
24/11/25,"XXI Jornada de Distribución de Energía Eléctrica de Asocodis: regiones, transición y sostenibilidad",https://news.google.com/rss/articles/CBMizAFBVV95cUxNV1JFQkNRc3VkRnk2UzJhWGcyTG1pOEJyZWxGNnJEeXRsb2kwU2ZPZ180bnBlMTNWV0xrU19lb3llZEtoeHJ0UkFfQjgwQUtzeEkyaF9qeWprcHNWYWNVQ3llRzBvS3paZVdhaU1mOG0wTGpPWVdWLTFaUG5jODkyWUNsekl3a2lSNUo4RjlPVnZNT1hFNFFFYjZyU2JFRHZyMjUzZWNsLXZYeWtIUW1IaXJwaXNCMjJmaDZYeG9sX1BDbUhqYlgybnQyQzjSAeABQVVfeXFMUHA3Z2NwTjZXLW4zYUdpNjBYbnduVnFkN2F5SmdGQzA1QVZwbFhhcmhSZ21vRWJ6MUE5aF96aHlyVXRPMF9oWTBITVVMNkdQX1l2Z2FGd3RPdWR6LWNaaGRNYUFOY0FuRV9wVElXRHBRM2NiODBHRUFzRF94LXJEQlVPZldmVG1CM0NfanZXQ1hPOVZaaXRBTGpMaTVRWU95Y2ZxYmFBRkxNYWtOb083eVpyQnJGUWlvaFpKNDJiZEYzdnpEWGFMbk43RjFwcWJXZlpLSWg2ZVZFRWlwdHQ2Skg?oc=5,caracol.com.co,Energía eléctrica,[],Neutral,,Otros,caracol.com.co
09/10/25,El 15% de los pueblos en Bolívar no tienen energía eléctrica,https://news.google.com/rss/articles/CBMinAFBVV95cUxOVmJYaHJlTFZCV1AtTTRaMlF4RmlPNmZjblBzeVRDdmlFaFRHdjlPeERNU0tzbGMtb0tiSXBXRlVCY0tfcWpTWXNuMUg4dkJ6OFY4d01tU0dHWV94d2Njb2ExQ1B2V21mb1hycXBoMDdFazFzQ0JHbXdfNEhLMGc1UWR0Sy0tOHhZbHBPNlF5YWpiTWE3b084MnhxNkXSAaIBQVVfeXFMTzJ2UVE1OERWZmZzVW9UYzRseG9tMk1XY21HRTlKOWdLMU5nWGNHVG5SS3kxQklVYm5Ia0xmcjEta2J6WXZuYWR0N1k3bkYtOFF0WmNFSE05X0FjajQtZGg1dDdsNTlBUTdNU1BCR0ozQWZqR3d5TnZRbTFjMVc5UXc5eXd1SVBXNGVUQWJpMjVmclNTaExUNGkyVmtPM0Q4dktR?oc=5,rcnradio.com,Energía eléctrica,['eléctrica'],Neutral,,Otros,rcnradio.com
17/10/25,Decreto del Gobierno busca limitar los costos de energía eléctrica en Colombia,https://news.google.com/rss/articles/CBMitwFBVV95cUxOR3h2bnoxV3VOZkVkWl9QOV9seWkxRnE5WGp0QWFMT3Jhc3lRWHBFTWxQWjhJUG5raVlVemFWVVVOOWNPcERoanY3eUJBVkxHbGVaS3NkZ0FiUjV1RzRSa1NhcTJ5X1AyUC02VlloMUZkS0hIOEtMb1hsbDlBTEE5Sk1kVE9fSlBUS1hvUDR0bmFLUnJVV3FfVk5BWWcwVmhOMkY5LUM1MURQSEx4cVl5QVBBYTFYS3PSAcsBQVVfeXFMUDhwUEh1UUc4MnQ3Qk1FY0hKSVhmWmJDSGpiZHNmZVhidVFrc1VvblFsTmFSZG1jQkNJTUkwc3ZxMlVlbGZELVA5RU9PNjNCV1oxVmVvSmdGQ21RcmZQTVZoODk4a3FGbHAtVFJ1TDNhZkkwVkI5bzVwNl9Fb2N3N1JZODFXd0xETkdDbGhpNW5LWnI5eHI1aWEtaGh4T0NPOUlMOFFpQlFxb0xJeEJzSlhjaExtQ1dBSURfQ3F6Vm9WX1VMRlR2Smo4c28?oc=5,wradio.com.co,Energía eléctrica,['eléctrica'],Neutral,,Exterior,wradio.com.co
30/09/25,SuperServicios anunció vigilancia especial sobre plantas de generación de energía eléctrica,https://news.google.com/rss/articles/CBMiyAFBVV95cUxONjFaekh0NlFSRnlpUzl3MkNvVmlrUGI1LXZ0Q1RUa2l0dnVVSl9Kemx1SWR5bGNaOW5Yb0poNHp2aUlUVDFXMkowVHl2YS1SaUJfLXVUWjAwRHZaR0E0b1VvbmVGamZPVVJSalhkeEdDeXhmZTdIdzFBQVJubC1fZHVpMkJSc3NDVm5Dc0RDdWx1VC1VUmRTYms1REZuS2FQaTcxVjBrSGJlZElIWldxMk5lVmZlbEtDZ3ByYnVtc0xhT3Y5TWZHMdIB3AFBVV95cUxQZ3RCQ1BEQks2ODRIS0c5Y1VIZGVYYmhoZ2hFYW4tVEZGRlF5Qmk3cDFabDg5Q245ellfQVQ3YlNaRzRxcTFOMzBtU3ctUXdESURjQkxoaHFfTXhGaWg4ZnF2TkVMT3d2c01lbWc1MVhnVHVnTml4cXZ3Um9EcmR0TlI2QWo0alZLUXhmSWNSRjJ2Q3ZDelQ1YjZ1ckFyQTcyWkdVdzFHQWZSSV9xOTJ6T19IVDVXZVpPeEN4cThPcFZ3UTNMWDFZZlU1SnZuYTdwOGVrVFFteW9CcjZj?oc=5,wradio.com.co,Energía eléctrica,"['especial', 'eléctrica']",Neutral,,Otros,wradio.com.co
01/10/25,Generadoras de energía eléctrica aseguran que no tienen comportamiento desleal,https://news.google.com/rss/articles/CBMitwFBVV95cUxNTGozRmhCX0pvY0J4VUhmOVpyQy1aVTRiRjNpc0FOUnFYRDFackprQjdlWEV2LTNvdy1KU0Nyekw3enVjZGJKQzZnMk5fOURQRWpZcGZMZ1FoN202UGloY0NnQXNVby1fcVd4bzBRSXhiUjJ4YzJRdk5zMk1PTXVsTlZwT2Vsc0JQVW5XOGVfTG9yWkJzdm9fSmpyS012NDlCMU95bTZ3aW9DTGJWblZJTjhHd01IUVHSAcsBQVVfeXFMTWhvMWtjSW9sak1HcGx4cU5yeFFIejBNWjdzcjg5eHlobWF4UXd6MjE1c092dWN4NWxCeE5RS1l6Y0ZzcURVb2NCZjN3SHRyMUJBa0hGTmFhSE5vM3hUWnhJX3dFeUp2Q2hhVFhUdlA1clhqalQ0RUw0bk52WHA3ZWY3dmxzX3VkOGQwb2N5UkZuTnZ4UGpEWVR6enhCX3dEcHRidkhGb2NiVWxHOFNaaTNEQ0w1eldVOEJ4d2U1YzJyTEFKdWU5RVgwY0k?oc=5,wradio.com.co,Energía eléctrica,"['eléctrica', 'desleal']",Neutral,,Otros,wradio.com.co
18/11/25,Las brechas entre lo urbano y lo rural también se sienten en la calidad del servicio de energía eléctrica,https://news.google.com/rss/articles/CBMi8AFBVV95cUxObmU3TGN3RnlzX2cwWl9SLWwtcURXRmx1VXRtcjFmVC1MaEdPTFFZN3A1RF95RXdMUHNFdUlzQ01LM1VWT1hvVXBGRWhlR1dGd1Rlb2NpeFMzb3pKblNQbHpZVU9UYlJjdjV1NXRvWVhYS25jc2NWS18tejBIVUY1NjdnWVR3WDBSNU1FcTRqV21LRlFtV21MZWRsU2s0NG02TG13bnJDSW93MHlERXdaTlh2SHpzM3hPdU5uZzdibEY1dDJneEJPUUhVb1d5M3NaQ3RhaTEyRDI2cGN0V1dIV05iaUs2MTJJVE1xbkg0LWE?oc=5,cambiocolombia.com,Energía eléctrica,"['rural', 'eléctrica']",Neutral,,Otros,cambiocolombia.com
20/10/25,Controversia por decreto que busca limitar el costo de la energía eléctrica,https://news.google.com/rss/articles/CBMiugFBVV95cUxNRDdsVmVvc3BuYXoyUU03Qlh2ZEs0UlVrX2NjeDBJZ0trdDdhcmxEekQ1WjBpNFRyX0Y5MmNOTnI2OFl1ODB4TFlLOWlzdEZpRUZqRnRtcnRzSWxoZF9udTh2YWxzWjZybG9SR21TRVJDSlJ3NlBoekI3Z0VtWjUwX0dINFFoR2dFbVFONFNQSTdYV1F0bklwSlZSMlJfTnVXSDdBdV96dnJtT0czdlZKaGZSZHdBT2hnT3fSAc4BQVVfeXFMT0dralk3aVRZX09QUlBWMWwzMHdEcDgzWjVxOG14eXM0VDAxYm9yNVdoQUxtY1R3bFdhdHk2SDJOVU5GOFd0enF2ZFZiWENnMEFJZmxyOHdqT2t6ekdnRXJ4R2JUNjVnUlNsVUs0WE9JYW1IRmlURGN4clpIYVFUUjRfWFpOTFR0TWt1SXp1Q0xmckMyaWY3WnZwQ2kxSzVlMXR1bjFBQm5wRnJfR0FHOVVIRUlCM0tfZUdWVWtqSnB5SDUyWE1tMWFYTGVYbXc?oc=5,eluniversal.com.co,Energía eléctrica,['eléctrica'],Neutral,,Otros,eluniversal.com.co
24/10/25,"Noticias e información de Energía eléctrica, cobertura completa",https://news.google.com/rss/articles/CBMiX0FVX3lxTE9kS0ljb0tRekR4aVgwNmFsNHZxbWJBWlZiVHp1WlQ4U2s3Z21LcldUVlM2MGU1ZTlYMVc3bEo3VWRLSjUzbllUMU9mVGZveThNXy1Yc05iYXhlZWNrOUdv?oc=5,lafm.com.co,Energía eléctrica,"['eléctrica', 'completa']",Neutral,,Otros,lafm.com.co
