Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio
14/01/2026,Trabajadores de Ecopetrol piden frenar la elección del representante de los trabajadores en junta directiva por presuntas irregularidades,https://www.eltiempo.com/economia/sectores/trabajadores-de-ecopetrol-piden-frenar-la-eleccion-del-representante-de-los-trabajadores-en-junta-directiva-por-presuntas-irregularidades-3523926,eltiempo.com,Ecopetrol,"['directiva', 'presuntas']",Neutral,,eltiempo.com
14/01/2026,Juez niega medida provisional sobre elección del representante de trabajadores en Ecopetrol,https://news.google.com/rss/articles/CBMixAFBVV95cUxOQmZsWmg5ZG9tNGVqVnhUMzNmM0tMUEZEQThGN0kxYnBVbmUtR2JYZnhleHZQWlczRm5pSG5pMlpaZDg3M1RkN1RTVWxqN1ZzMkRiQ19aLXduUlRJbXBqYk9NVThseGdTMjJoNzRVeFltVDF1MEFvekVQemhOT1piZ3pfM1UwNTJkSHhpbnhkcEM5MjFXSDJqYnFoV0RNSE5fVVYwd1NTdUctTnZmQ3c3STJHVDVEQ3pJRVJlS19sUjl1OFZY0gHYAUFVX3lxTE4tdW5rWTVSNDlfY2l6YXQ5ZEcyVVFKQktKd1dsSUxBNG5oU1VOSDNWS2xYek5GdUR2WXdzNmQtZHV5UkRRa3lYLTVldWNPTlA2UUhSdURibVotX0NIVmljS1p4Si0xUG9qV0txUHlGLUJuNzQ3ME50T0RnVTZCSkFXMDRuY0lvLWxpZDZ4MGtlNERjRmZwRlBRT1RLQ2QzdFM0bUVNM1dWc2JHbXVjb3lBM01DckZ6MTdyaGhFSW53MU5fcVFVTXV5ZkFfdE9lWkdSemxCSktfQg?oc=5,caracol.com.co,Ecopetrol,['provisional'],Neutral,,caracol.com.co
14/01/2026,Entutelan elección del representante de los trabajadores de Ecopetrol por cambio de cronograma,https://news.google.com/rss/articles/CBMizgFBVV95cUxPYXJBRXNlU0RyMW1sbVI0RGg1MjZydHZ0Z3BuU0F4aGV2UG9xV19BaDQxTTBhdF9HMzBILVQ2YmpLLXlWRUVnUzhYbkh2VjhzajhiZmFoTWY1UFhyWkNSelNwTk5Tb1QzbG92MXI0SkJzLUlyYVR4VkhjNEtNTHJUUURpU0c2OTd3cDliNFdlOTMweUFqbFpYZmFtandabGNLLVhLbmZIc3lDZzNOS2szOURJVTJFb2RLWVpvdjN4UmE1OXl0b1pvUC04UG5BQdIB2wFBVV95cUxQb0dwUlF5bzlXVzMzRHE5eGpEYy1CRHk1ZXVWckhZVFVWMm5oTDd4WS1lb1pGZThaOEU1ZXN3ZDFfTFZPNFgtSEVCaGVzZnBQMTVHVHFWS2lIb3oxRVJ4SGp2Tk1YNDJTRGNQbnhfdDJwMk50TEpWaVZrdlN4UEstNl83MzFoTHBXaTB2c2xHa29UcHduVk5fdkRsbXFVTDZKMkZrZ3pKSVphMUpIVFc1R18zYTdBUElHUkZZWDdYRGExaHBNc3duODJxMGN5bkxleTJyX09uQm9SbmM?oc=5,bluradio.com,Ecopetrol,[],Neutral,,bluradio.com
14/01/2026,Trabajadores de Ecopetrol acudieron a la Justicia para frenar proceso electoral interno: juzgado negó petición,https://news.google.com/rss/articles/CBMi8gFBVV95cUxQaVQ0cHFMYl9yMjdDR1dTUFlFeHVPcjBJREFncGZ5dEV6QUI2U1FYcmxJa3F4NDRYNGFpQkdVeEs5dWw3aFU0OWNIclNGOVlqUG8ydl9EbG1GMF9BbXNJQUNfMnhfSlhDT3VYS2wxLThJaDZMZktEUWNqUHZEeWprOWlkSUI1S3o0NEUyOV8xdWlGOVl3MVlZdVNXeGlGRmtXSmx6Z2stdWxwZzJGU3JCdzgwOVBBYmpPanB4OXh4NjdyTmx6X3ZjLVN0dF9PM19vZTljZ3pXTExmZkNXU05RVFRjVnA2TnZaRGtySE1lanN1UdIB9wFBVV95cUxQdnU4LVl1QVEtbk0xQ0tla1FDX0xOM1NMSWRoM2pZcC1hLUtibFdaQ3dMZ2U4WkNwNjhnaTJsMTFsbE96NEZTS202a3VtdGVKS1hLcFQtbDVFMUotSjFWa1g4THRUa0xLdmtNT0c3U1hYQkY5WWZuVm9qcGMzMjhOV2toOGdFYy1SdkI0UFVIc2JwZVdnZVMxYzBaSmpMaE1GOHgtSXBfYi1FQTZ0dU5jMnFZSWVSMHV2VHF6VmhmWW1Vam9qQnBMY1RSNUlPX1RZOUhqY0h3ZFlUUU9RU0s2VzNZZ3F5SzdiaHgxX3Y0d01zYW41Vk1N?oc=5,portafolio.co,Ecopetrol,"['electoral', 'interno']",Neutral,,portafolio.co
14/01/2026,Disputa de trabajadores por ingreso a junta de Ecopetrol,https://news.google.com/rss/articles/CBMiowFBVV95cUxOdTl0Nmk3N0dlQ2VTTlNiQ3lDYzJOSG1TcGZZbDlfNEQxRTB0NnpKVVZlSjByZzRTelZDcmtncGFIMmZzYjgyaFhUd3VzcEJQVWVTMTdpc2w1OU9WNHlobG5Kb1BnVU5GbmtpYUNnN0xLdV81YVlmdzM0RVNNbktIV2JsZTZpaXIzc2VXNWZoTGszdngwWFFRMzAxTWdOSUZMMHpj0gGjAUFVX3lxTE51OXQ2aTc3R2VDZVNOU2JDeUNjMk5IbVNwZllsOV80RDFFMHQ2ekpVVmVKMHJnNFN6VkNya2dwYUgyZnNiODJoWFR3dXNwQlBVZVMxN2lzbDU5T1Y0eWhsbkpvUGdVTkZua2lhQ2c3TEt1XzVhWWZ3MzRFU01uS0hXYmxlNmlpcjNzZVc1ZmhMazN2eDBYUVEzMDFNZ05JRkwwemM?oc=5,canal1.com.co,Ecopetrol,[],Neutral,,canal1.com.co
14/01/2026,"Carro de Afinia se salió de la vía, no hubo heridos",https://elmeridiano.co/sucre/magangue/carro-de-afinia-se-salio-de-la-via-no-hubo-heridos-elfy9e,elmeridiano.co,Afinia,[],Negativa,,elmeridiano.co
14/01/2026,Estragos financieros de la crisis de EPM,https://www.elcolombiano.com/opinion/editoriales/estragos-financieros-de-la-crisis-de-epm-OA13468420,elcolombiano.com,EPM,['financieros'],Negativa,crisis,elcolombiano.com
14/01/2026,Hurtan vehículo contratista de CENS en zona rural de Cúcuta,https://caracol.com.co/2026/01/13/hurtan-vehiculo-contratista-de-cens-en-zona-rural-de-cucuta/,caracol.com.co,Cens,"['contratista', 'rural']",Negativa,,caracol.com.co
14/01/2026,Estratos 1 y 2 no pagarán sobretasa destinado para el pago de las deudas de Air-e: esto se sabe,https://caracol.com.co/2026/01/14/estratos-1-y-2-no-pagaran-sobretasa-destinado-para-el-pago-de-las-deudas-de-air-e-esto-se-sabe/,caracol.com.co,Air-e,['destinado'],Neutral,,caracol.com.co
14/01/2026,"Estratos 1 y 2, excluidos de cobro de sobretasa para el pago de deudas de Air-e",https://news.google.com/rss/articles/CBMi5AFBVV95cUxQLUhjRDVWN3pzSU1FcVNZZF9sc0tVb0hvbGsyZVdvUTd1czdRUS1QRWFMY3BNRzd1U1dSYjJ3dnVtUGJxbnN3Zk5aMEVmNlY0UFBYVlc4Rnk2aEFYMnFzYXFIWldHQk5HVElKUDhaWmdIb0RFY0NUZEExUGZaVi1vT05ZdjE0d1puMXJIbGdtYXZqcUZDUjVhUFBEdHhKandoa0dTTGk2SWtVb0U5cTRKOWxydV94RU9NU0I2QXVWV042T3dVZXZmTmR4RjgtN3N5UXpkeDhxOVA5OHE5S0dkbHktd1LSAf8BQVVfeXFMT1dqUi1mbFl4c1J1ajlsUWlxWVJlemlOWlpjZEtVb2JjWUNIeHhEZWNtc0RYUTVEbnEtUk91dDY4V2ZxVFJJdW1OXzB5a2ZzcTVKRC10ZmVubmpDT0RNNDBpVlM3WEtBeHNtMGhqT0tYck1uSEtuQkJTVWdNQWJvLWVCY3ZyeGkwSU1pSXIyQWJuY0NGb2pjSVBrcUN0ME5aNlFUYlNLT0VDZnY1RTRONTFfbjVQanZaUWNtRlRHRkd2VG9yRXkzbjBWWFVmMXp4Q0NfSnlTN1NZa2xjaEh1T2J0d1ZRSHdBWUwwX3JLTGxmMzJwdE1GekpfVEEySXNr?oc=5,elheraldo.co,Air-e,['excluidos'],Neutral,,elheraldo.co
