Fecha,Título,Enlace,Fuente,Término,Adjetivos,Sentimiento,Palabras Clave,Dominio Limpio
04/09/2025,Cámara Colombiana de Energía no descarta a Gecelca como opción si liquidan a Air-e,https://news.google.com/rss/articles/CBMixAFBVV95cUxPVlo3Y0FkMEVodTMyYkNyTmFaYlVRQV95aTNfaFhkNl82YVYxam5OTmMwdENhdmF2Q1JQdHJobmNZcnJDYUsxRzJfYk83TjRpeDhHWWFQQXhUVHdhdm5KaUtaWXAxb0NvbHF5RGxJdGRqT3Q4dW9EU2t1c2tmSjBzamlWSGZ1WlR1amJwS3FYTVBCZ2RhNVFITFZKallWRTVTZ0NrOURDc19KbXRaVVdVQVZrQ1YzVDBPSVlOdGVScDBXN0JT0gHEAUFVX3lxTFBCWXAwU253NVhKOEVnc2xjWVkwWHBRX1dCVW10a3l3R2JqQm9WVWQyZUI1YU5yTjItMWlRZl83dUlweGlybVV1dFFRd1hIUm1DOHN6Y2FndlRqekZ0RklhMnEyTWVyVEtRcTNIVEtSY25vXzYtOGNxdnZuaDZ0TXJPeGxyOHNTZ3dfV3hmbGtoM2hBdUFMcDZfYWtIUnRYMm9tNEtXRkw0UUdFMUZxSU9OOGFIeWZ0MkprVl9NRnVQdkVyZ18?oc=5,larepublica.co,Air-e,[],Neutral,,larepublica.co
04/09/2025,Cámara de la Energía solicita al Gobierno un panorama claro sobre la situación de Air-e,https://news.google.com/rss/articles/CBMixwFBVV95cUxOaWk0cjlxNTFXcDVxRFNsSkxIamFib29LVmE0bVVLMVZoUUxwek5CTFhjT0pLeUE1WWlNc0xLMS1SaEhvRzZoaHFyMy1lVFN0bTJQU1ZyWGUtcWMwSWMzTlVRd1dlV2ZGUndiOXlVb3NReWpEOU1JZHNZbWRGMnNJT3Y0U0RmaHFMUzZPbHdIa2RDQ0p1MEhEblV2cDMxS2ZKM2RETVBseXhmQk5tSmgxbjhDZy1wUjRGZVByVEJFMlZFdGFZRFZV0gHMAUFVX3lxTE9BTFpkRVpBSzdsZWZqSzB2UGp5VTZpOFRvX3dKZnV0eC1xeUsySXFXYURVejQ2OEJlQ1FJbmR1eGE3d3k5bUFtYTBUbk9FaEl4WXFYV2hmdHFHUnlMMEw5dTZwVUdyUklIaEhHQlBlYldVUmJNYVRwb2ZnendLM09DaUZBMnJmWmpZQmVZcHdxUUVIN3hUMVMyVTUxRE9Xdlp4dm02REJCeWkwdkx2OEd3V2dta19PVUl5cHBaT3hMX3VJSnAxRnFhSndUTQ?oc=5,portafolio.co,Air-e,['claro'],Neutral,,portafolio.co
04/09/2025,Celsia da un nuevo paso en la generación de energía solar y transición energética en Colombia,https://news.google.com/rss/articles/CBMiywFBVV95cUxNYmpQdkdoZDN4bURIN3hCUUsyWkZRUENuZmd5b1hPQlFPdUtoVGtSMnBUcUFXa2JkSEg2QlBYODR2bTBkWEpydVRlcS1ELUtpQXIxOHFaYTN2Q2hYUVdENUZSV29wUWJkMlhnYzRScXA5Wko3VGpkZ3RuTko3SjRGdTgyWDFMclZ5NnpDZk5iZ3Z2OW1mcE1NbXp0UkQ2b3ZRYTVIWWJ1ZlFWb2hNcE5UdEF1bVczVGVob1JyU1prbDY3bEZHS2NGd0tCZ9IB3wFBVV95cUxORVZRcTNVSDRBMEFzNE1BQlBKZkxrM2NoeWNaaFpTZlNCN3N4d1dwWVBDTndZbjZSa0o1V1E2ZGdKbTNhV0U1cG1KeC1HWlI1YnhocVUwY3RCWWFNLTUzeEI1NW9IbFVVdFp3N085cVZkU2psQVlGbE1xaS15ZDF4eE5POU9pUDYxYzJfNHlaTTBVLUFscFd4cXk1aDR4V1NhS3FuV1VJeXA4ZjYzRl94QTEwWm0xSm55b00wc3ZwUFRSQjAzVXVrZ2xteWUwN3BlUndVV21wdlozMFdTRXVJ?oc=5,wradio.com.co,Celsia,"['nuevo', 'solar', 'energética']",Neutral,,wradio.com.co
04/09/2025,Desde Venezuela roban energía a Norte de Santander: empresa CENS EPM denuncia conexiones ilegales,https://news.google.com/rss/articles/CBMijgFBVV95cUxNQk9NUmVBa2F6aWZTanpqWjE5bzRlR1FmNEVGZG0ycEp4c0oyMGU1NG5VT0l2RnVDaGpJMktPNkc4Vm1pdXdIaHdxQ0RkMkx5RFVXcm9IZzMxck5nZVVyaVRvdFBFTzBTWHdmTml2NlNSSzlTOEdvWTA4NUZ4TmJKUmVUN0JmeDVoSUVDSndn0gGiAUFVX3lxTFBxT0JkbkNrUHlPUXpoaDdWWklReXJyTVBrXzVwNlc3aURkSHNDd2pfbjhCNWtmai16UDY1MkhRaEQ4MG9qLXE2aEctY3pyblZpajkzT0wxSkRhX3F4REtpX0taNldHMFQzbDFNQ2pwZF9uT2I0X2xpQ1B5Qk1hQU1xN0hoZTZ2RG90QUZHVGlrdDhGR3lVNUZObFB2TU9Vd1FLZw?oc=5,caracol.com.co,Cens,['ilegales'],Negativa,roban,caracol.com.co
04/09/2025,Edwin Palma advierte: “Ojalá podamos traer la primera molécula de gas venezolano antes de fin de año”,https://news.google.com/rss/articles/CBMi2wFBVV95cUxOUzNhb1ZBOWVmZ0lxak1LM0ViV2pwUF8xNThxbnVFdlNCcTlMRFY1cW9JSlNsOXhONTFwc0k1UGpnMlFmQTRmd0dROG44Qlp4QTRpTzFKSF92TlhEelhQa3pDekhyLUxNYWpLOTZwLUVXMHVzdkdJRWQwbTVGZGhjcS00aXN4ZG8wektKUzFtX3d5Zi1lLXkybFR3UTNzSU1xbHFIbU1SaDZsdkFlNWFiVWNjb01SNXNZSy11d2tNdm1MdmtZWEMzYkVXZDNSb252bmRWNl81SVZQTG_SAfYBQVVfeXFMT2RYLU5pVkd5SjhmRTZCSHNkUE1wd29Wd2VPY3pzVzNiUUFxT05ya0lTQ0ZadV9xODRmaXVENEVwU3VHbmNqOVlTX3VMOGJuUFBwTUhBcUl0NkMwdVl3cmUtdUhtVF9DOGVQMWdvX2VqQ25JaUhpamxJS0dIVjk4alVxMDhfbjFhaHFJVHlKTlJ6OVVLWUs3SmhyQkhSVlRJYlRFNUc1ZGdVOTdHM0VsX0JvOXh5TGc1aFlVS1ViU0NzdGlRWHR6S0FGalV6N0hubnNQWDR4aXp5NFFhbGhHdnh2SXV1WWhUSmxEcjRYalM4dFdpaGpB?oc=5,infobae.com,Edwin Palma,"['primera', 'venezolano']",Neutral,,infobae.com
04/09/2025,Planta de regasificación SPEC expande su capacidad para garantizar más gas en Colombia,https://news.google.com/rss/articles/CBMiugFBVV95cUxORXpXVWNtbjBfajY1ZmNDZ3BmLVNxNllpemNPZmlKZS1YREFJbTIzc3JPa0IycmZnNFdLRkRNUkxCbFZwcTNwZDNMTGJHUVdnam9kRlJvbVh2VkVtMmdZS2diQlJ2M0o3bkVlTWhfZVdMUHBpc1ZoYW1La1J6VjhiME5YM1o3Qjd5UEYyRk9NdTBmb0wxR21SSV82blVOYXFBSUR4NlZDR2k3S293ei1IZ3VWV1NZcHAwanfSAb8BQVVfeXFMTnRfdENGOHhzSEUzRDZzY0FKbjdXYW5PNWdmZmdWTzFvVnZGX1hXVVIxc1Frd005X0FPVVVEUElCUVNnMlNuTDdjTGQwbi1QLUd6OEFiMmQ1ZnI1cVhLSTVWM2Z1cmFqNFVkU216dGE3czdkaW4tVUtfTERRVnUzZno0dzdqMElsSXZQWHc5UmpkTVRrcmoyMi1WTndiTUtRdHJXTGN6dTAxWUY2ZGJ5MWVNNlJoSjRTNjVJUnB5S28?oc=5,valoraanalitik.com,Regasificación,[],Neutral,,valoraanalitik.com
04/09/2025,'Reglas estables y justas': Acolgén le pide al ministro Edwin Palma revisar varias medidas que están desincentivando al sector eléctrico,https://news.google.com/rss/articles/CBMikgJBVV95cUxOUEZBckx0RnFUclg4YjUzeEJtLWp2QVNMZWhkTkJtejRsbEtJb2VjaGs4MngwS0xHSG9McHNWM012Qk1pVXhiSXVzbVhKWmVMLXVhSlBYNU45NGJpWU9wZWNObEYwb2EyR0NTLTZNMkF4dU5YeG40bHB2WXJTTXpFSlpSUU5kemotQUR5Z3h4VEJhZzg2RmJKWk9xaEJ5bTRJTWlxQkZUSEdQalJ1NHQ4U2s4YjdjSmJ0Q0VTakVyVmRYNjMwTmVSeDRObTBCMzBuR2FSbjY5WHRfa3hnX2lFZV9MblR2YTFHNDJETHhSOFdieDRxR1NRNC12WmtnYmZiVTlFSXhaNFlJdmIzeG9XbTVR0gGXAkFVX3lxTE5sLXZuc2tfMTF3aXowT0xCemwxc19OSFJVOU9ZNFJhdjg1WmpBbXJMZVNhenJuQXJWaTkyRkltcld5a0t5TkdJalhKSU80UFhqY1B6VElZZDRhakhEc3JzYXpFV3VfV0g1cW9uLUY5Rld1bUQ1Wi0yREFEdnR5MWpPZXNLYnVNdDZXeUZtY3dJa1BvMmdZbzB0bGJOUDVMcWlqNUt2d1JfeFNqaXloVHFnd3M4cUc1QzRZT2lVM2t5ZDdkUm1VMXNnRFMwcERDRmNUMnh4M0R4ZmNUSnNSejZRNXpNbFBCc2JDWUpTa0VzWVlqaTVia0JqQ0RIX09RXzdDR294d21CSzNacGpIUV9ldlhJUVRlZw?oc=5,eltiempo.com,Edwin Palma,"['estables', 'justas', 'eléctrico']",Neutral,,eltiempo.com
04/09/2025,"Trabajadores de terminal de regasificación bloquearon entrada a isla de Barú, en Cartagena",https://news.google.com/rss/articles/CBMiwgFBVV95cUxQNVJZU2NJZHZ6RjRGcGpZOXFOWmttVmJkS3dVS21RX1F3eUZfRUN4aE12RDdrZXQ1MzNwTWZvUGQ4bHpTNkJaYWpsZ3drT2ZmajdNR1VTbjZYZm0tQ0hWTWpqeUVUZUNPOE1ESkxEdVBqMGF2NzhxZ0hBd290T2Rjclg0ZzRpOGJOSklRc3hreEdUUWxmcmI5OEtVQmRMXzltWGtoSWVvd2N2bTliUW95a3c2bjRsZ28tQzB0N3lZOURGd9IB1gFBVV95cUxNaUY5SGdvNXNiMFBUMDYxNHk1OS1OTk9YZHFISmNTWTllQ05xZkRvNlhvYXNiWS1BeUJVbFFoeDRMb3pOV0ZaNl85VkxON0NScE5JbVBSWXlKZ3pWLVN5elNraEExUWY0NlpER1FpQWM0Wm9YWV9CWXBraThDcTB0aU92aGhGLWdVU0Fmbm9fNFlsbmh5bU5LQzkyZ203YUJ1SU9LdTNCd09ycHJ3YmV2aE1LNnFfODYtUExkZUQ2SlkxVU9KMS01WUtFOEsxU1JXZTdnam1n?oc=5,caracol.com.co,Regasificación,[],Neutral,,caracol.com.co
04/09/2025,“No podemos traer gas directo de Venezuela ni comprar a Monómeros”: junta de Ecopetrol,https://news.google.com/rss/articles/CBMiyAFBVV95cUxQY1o2SFBwRElUTzk1eDZqSWJQODJIX1prTmZ6Zk1GaWhBREJjN0JkSmRjaUk3WGRyNFZpMlVsWF9zRmJuNGhFQzNBaEQ5elVpeWxDZUNPM2VkaTNhNEpaQ1lRbjUzVTd5cWNiXzZkTjRwR1k4anFuakJrZW5SRFFxcEZMZVpueEFldV90Q19fWmZYR0VWdTlrMUhFSGl6X29MRk5xMlBtTkxMWVNKVkRNdlhLdmh0RkRqVHlUNFg5YzlqQTNtYU9qY9IB4wFBVV95cUxOeXVKUWhRWWtCcUVrRlYyQlZHRThtdHA2ZWU0OEdxZ01UY1hBZS1zZVVnSmlHd0swSmYySFNjWTdnbk9iY1BZOUVaRUZ1eGdlZ2N3VzczYmZyN21qMFh0YXZpV3FkVXRRUFpXRTNmTmJUTHpTUkRkUU5nX29FMzBUX0hfVGZzZElLRUdDN1QwY29Jc2djcGp2R3c1WXVCc20yYTVZd2JXOXhMMk1za0NjZEotV2JmbVU4eF9aUm5PTzdZanJ3U2pVQTNXaFFYVDAxeGppd2ZxR0lYOUk1Uy00cXNONA?oc=5,elheraldo.co,Ecopetrol,['directo'],Neutral,,elheraldo.co
04/09/2025,"Ecopetrol y Gobierno chocan por importación de gas desde Venezuela: “Nunca va a llegar gas”, afirma Mónica de Greiff",https://news.google.com/rss/articles/CBMi8AFBVV95cUxOLVdKdlBoWjJvcTlvc0JBN2x5NUc3dVV5MG1kUjc1M2VJRVBOUWNVT2wwX0dZaWVhTFBRS1JtUkJqTlk2eGJlc2Y5RHQ5Ym5pbW1pTkcteC1oLW1nUVo0SklvWkczSEJhdnNUOEpHM2NyUlB1S1hCSjA5OGUyYndTaUxUX2RRRm1MeUdsazIyNHZTcXFVQm1iNllpWlBGcF9tc2NVY1F6SVljWUc2Q09SRG5ULWVlbHBuUW4wdGdiWlFZd3huREx6bTc1VWZraWpWanVMYjJBZXFHZzA5aHdfV2hYQnZ5a21yS1AwTl9VMGE?oc=5,publimetro.co,Ecopetrol,[],Negativa,,publimetro.co
